Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Stephen Curry,34,5.4,0.7,29.4,StephenCurry30,188,83
Klay Thompson,32,3.6,0.6,21.9,KlayThompson,198,97
Andrew Wiggins,27,3.4,1.6,17.1,22wiggins,201,89
Draymond Green,32,6.3,0.9,8.5,Money23Green,198,104
Jordan Poole,23,2.4,0.4,20.4,Not Listed,193,87
Donte DiVincenzo,26,3.4,1.1,9.4,Divincenzo,193,92
Kevon Looney,26,5.9,3.3,7.0,Loon_Rebel5,206,100
Jonathan Kuminga,20,2.4,1.0,9.9,JonathanKuming6,203,95
Anthony Lamb,25,2.6,0.9,6.7,AnthonyMLamb,198,102
Ty Jerome,25,1.6,0.2,6.9,tyjerome_,196,88
Gary Payton II,30,2.3,2.0,5.7,Garydwayne,188,86
Andre Iguodala,39,1.8,0.4,2.1,andre,198,97
JaMychal Green,32,2.3,1.3,6.4,Jmyke1,203,102
Moses Moody,20,1.2,0.4,4.8,mosesmoody,198,92
James Wiseman,21,2.6,0.9,6.9,BigTicket_JW,213,108
Patrick Baldwin Jr.,20,1.3,0.0,3.9,_pbaldwin23,206,99
Ryan Rollins,20,0.8,0.3,1.9,_moneyballry,193,81
Lester Quinones,22,0.5,0.3,2.5,Effort_les,196,94
