Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jayson Tatum,24,7.7,1.1,30.1,jaytatum0,203,95
Jaylen Brown,26,5.7,1.2,26.6,FCHWPO,198,101
Marcus Smart,28,2.4,0.8,11.5,smart_MS3,190,99
Al Horford,36,5.0,1.2,9.8,Al_Horford,206,108
Derrick White,28,2.9,0.6,12.4,Dwhite921,193,86
Malcolm Brogdon,30,3.6,0.6,14.9,MalcolmBrogdon7,193,103
Grant Williams,24,3.5,1.1,8.1,Grant2Will,198,107
Robert Williams,25,5.4,3.0,8.0,rob_williamsIII,206,107
Mike Muscala,31,2.7,0.7,5.9,Not Listed,208,108
Sam Hauser,25,2.1,0.4,6.4,Big_Smooth10,203,97
Blake Griffin,33,2.6,1.1,4.1,blakegriffin23,206,113
Payton Pritchard,25,1.3,0.5,5.6,paytonpritch3,185,88
Luke Kornet,27,1.6,1.2,3.8,Not Listed,218,113
Justin Champagnie,21,1.0,1.0,2.5,JusChampagnie,198,90
Mfiondu Kabengele,25,1.3,1.3,1.5,Mfiondu,206,113
Noah Vonleh,27,1.3,0.8,1.1,Not Listed,208,116
JD Davison,20,0.6,0.2,1.6,jddavison10,185,88
Justin Jackson,27,0.7,0.1,0.9,JJacks_44,203,99
