Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jayson Tatum,22,6.6,0.8,26.4,jaytatum0,203,95
Jaylen Brown,24,4.8,1.2,24.7,FCHWPO,198,101
Marcus Smart,26,2.7,0.8,13.1,smart_MS3,190,99
Kemba Walker,30,3.6,0.4,19.3,KembaWalker,183,83
Evan Fournier,28,3.0,0.3,13.0,EvanFourmizz,198,92
Daniel Theis,28,4.0,1.3,9.5,dtheis10,203,111
Tristan Thompson,29,5.0,3.1,7.6,RealTristan13,206,115
Payton Pritchard,23,1.9,0.5,7.7,paytonpritch3,185,88
Robert Williams,23,4.3,2.6,8.0,rob_williamsIII,206,107
Jeff Teague,32,1.4,0.3,6.9,Teague0,190,88
Grant Williams,22,2.1,0.8,4.7,Grant2Will,198,107
Semi Ojeleye,26,2.1,0.6,4.6,semi,198,108
Romeo Langford,21,1.3,0.7,3.1,yeahyeah22,196,97
Aaron Nesmith,21,2.2,0.6,4.7,aaronnesmith24,196,97
Luke Kornet,25,2.2,0.7,4.4,Not Listed,218,113
Jabari Parker,25,2.7,0.9,6.4,JabariParker,203,111
Javonte Green,27,1.3,0.8,4.2,2Xtremebounce,193,92
Tremont Waters,23,0.6,0.2,3.8,WatersTremont,178,79
Carsen Edwards,22,0.7,0.1,4.0,Cboogie_3,180,90
Tacko Fall,25,1.9,0.8,2.5,tackofall99,229,141
Moritz Wagner,23,1.8,0.3,1.2,moritz_weasley,211,111
