Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Andrew Wiggins,24,3.1,1.5,19.4,22wiggins,201,89
D'Angelo Russell,23,3.3,0.4,23.6,Dloading,190,87
Glenn Robinson III,26,3.3,1.4,12.9,GRIII,198,100
Mychal Mulder,25,2.9,0.4,11.0,MychalMulder,190,83
Alec Burks,28,3.9,0.8,16.1,AlecBurks10,198,97
Damion Lee,27,4.2,0.7,12.7,Dami0nLee,196,95
Draymond Green,29,5.7,0.5,8.0,Money23Green,198,104
Stephen Curry,31,4.4,0.8,20.8,StephenCurry30,188,83
Eric Paschall,23,3.2,1.4,14.0,epaschall,198,115
Willie Cauley-Stein,26,4.5,1.7,7.9,THEwillieCS15,213,108
Ky Bowman,22,2.2,0.5,7.4,KyranBowman,185,84
Jordan Poole,20,1.9,0.2,8.8,Not Listed,193,87
Dragan Bender,22,4.1,1.8,9.0,DBender03,213,102
Juan Toscano-Anderson,26,3.3,0.7,5.3,juanonjuan10,198,94
Marquese Chriss,22,4.3,1.9,9.3,quese,206,108
Omari Spellman,22,2.9,1.6,7.6,Omarispellman,203,111
Jacob Evans,22,1.2,0.3,4.7,JacobEvans_1,193,95
Jeremy Pargo,33,0.7,0.3,8.3,ImJustPargo,188,99
Chasson Randle,26,0.7,0.0,1.7,ChassonRandle,188,83
Kevon Looney,23,1.9,1.4,3.4,Loon_Rebel5,206,100
Zach Norvell,22,1.7,0.0,3.3,ZachN_23,196,93
Alen Smailagić,19,1.2,0.7,4.2,Not Listed,208,97
