Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jrue Holiday,31,3.5,1.0,18.3,Jrue_Holiday11,193,92
Giannis Antetokounmpo,27,9.6,2.0,29.9,Giannis_An34,211,109
Khris Middleton,30,4.8,0.6,20.1,Khris22m,201,100
Bobby Portis,26,6.6,2.5,14.6,BPortistime,208,113
Grayson Allen,26,2.9,0.5,11.1,GraysonJAllen,193,89
Pat Connaughton,29,3.5,0.7,9.9,pconnaughton,196,94
George Hill,35,2.2,0.7,6.2,George_Hill3,193,85
Brook Lopez,33,2.6,1.5,12.4,RealBrookLopez,216,127
Rayjon Tucker,24,1.0,1.0,7.5,th3flighttuck,190,94
Wesley Matthews,35,1.3,0.6,5.1,WessyWes23,196,99
Donte DiVincenzo,25,2.5,1.1,7.2,Divincenzo,193,92
Jordan Nwora,23,3.0,0.6,7.9,JordanNwora,203,102
Serge Ibaka,32,4.1,1.2,7.0,sergeibaka,211,106
Jevon Carter,26,1.9,0.3,5.6,nextlevel_03,185,90
DeMarcus Cousins,31,4.4,1.4,9.1,boogiecousins,208,122
Langston Galloway,30,2.7,0.7,0.7,LangGalloway10,185,90
Semi Ojeleye,27,1.7,1.3,2.9,semi,198,108
Rodney Hood,29,1.4,0.3,3.3,rodneyhood,203,94
Greg Monroe,31,2.0,2.2,5.4,M10OSE,211,120
Javonte Smart,22,1.2,0.3,2.4,JavonteSmart,193,92
Justin Robinson,24,0.6,0.1,2.8,5Alive_,185,88
Lindell Wigginton,23,1.2,0.2,4.2,Lwigginton5,188,85
Sandro Mamukelashvili,22,1.1,0.9,3.8,Mamukelashvili5,211,108
Thanasis Antetokounmpo,29,1.3,0.8,3.6,Thanasis_ante43,201,99
DeAndre' Bembry,27,0.9,0.5,0.8,fearthefro95,196,95
Georgios Kalaitzakis,23,0.4,0.4,1.8,Not Listed,203,87
Luke Kornet,26,0.0,1.0,0.0,Not Listed,218,113
Jeff Dowtin,24,0.0,0.0,0.0,JeffD_11,190,83
Javin DeLaurier,23,1.0,0.0,0.0,javind_12,208,107
