Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Bradley Beal,26,3.3,0.9,30.5,RealDealBeal23,193,93
Rui Hachimura,21,4.5,1.6,13.5,rui_8mura,203,104
Dāvis Bertāns,27,3.9,0.6,15.4,DBertans_42,208,102
Ish Smith,31,2.8,0.4,10.9,IshSmith,183,79
Troy Brown Jr.,20,4.4,1.1,10.4,Troy_Brown33,198,97
Thomas Bryant,22,5.1,2.1,13.2,nolimittb31,208,112
Shabazz Napier,28,2.0,0.5,11.6,ShabazzNapier,183,79
Jerome Robinson,22,2.9,0.4,9.4,Rome_Coldbucks1,193,86
Isaiah Thomas,30,1.4,0.3,12.2,isaiahthomas,175,83
Jordan McRae,28,3.0,0.6,12.8,JordyMac52,196,81
Ian Mahinmi,33,3.7,2.1,7.4,ianmahinmi,211,118
Isaac Bonga,20,2.3,1.1,5.0,isaacbonga,203,81
Moritz Wagner,22,3.6,1.2,8.7,moritz_weasley,211,111
Anžejs Pasečņiks,24,2.4,1.6,5.8,AnzejsP,216,103
C.J. Miles,32,0.8,0.4,6.4,masfresco,198,99
Gary Payton II,27,1.9,0.9,3.9,Garydwayne,188,86
Jerian Grant,27,0.7,0.3,4.5,JerianGrant,193,92
Jarrod Uthoff,26,1.3,0.3,5.0,Mr_Uthoff,206,100
Garrison Mathews,23,1.0,0.3,5.4,gmathews_24,196,97
Chris Chiozza,24,1.5,0.0,2.7,Chiozza11,180,79
Johnathan Williams,24,2.7,1.6,3.0,Iam_J3,206,103
Admiral Schofield,22,1.2,0.2,3.0,admiralelite15,196,109
Justin Robinson,22,0.4,0.1,1.4,5Alive_,185,88
