Player,Age,DWS,OWS,PTS
Kevin Durant,30,5.9,0.4,26.0
Klay Thompson,28,3.4,0.5,21.5
Stephen Curry,30,4.7,0.7,27.3
Draymond Green,28,6.4,0.9,7.4
DeMarcus Cousins,28,6.8,1.4,16.3
Andre Iguodala,35,3.0,0.7,5.7
Kevon Looney,22,2.8,2.4,6.3
Damian Jones,23,1.8,1.3,5.4
Jonas Jerebko,31,3.0,1.0,6.3
Shaun Livingston,33,1.2,0.7,4.0
Quinn Cook,25,1.8,0.3,6.9
Alfonzo McKinnie,26,2.3,1.1,4.7
Andrew Bogut,34,3.9,1.1,3.5
Damion Lee,26,1.8,0.3,4.9
Jordan Bell,24,1.9,0.8,3.3
Jacob Evans,21,0.6,0.2,1.3
Marcus Derrickson,22,0.5,0.7,4.2
Andrew Wiggins,24,3.1,1.5,19.4
D'Angelo Russell,23,3.3,0.4,23.6
Glenn Robinson III,26,3.3,1.4,12.9
Mychal Mulder,25,2.9,0.4,11.0
Alec Burks,28,3.9,0.8,16.1
Damion Lee,27,4.2,0.7,12.7
Draymond Green,29,5.7,0.5,8.0
Stephen Curry,31,4.4,0.8,20.8
Eric Paschall,23,3.2,1.4,14.0
Willie Cauley-Stein,26,4.5,1.7,7.9
Ky Bowman,22,2.2,0.5,7.4
Jordan Poole,20,1.9,0.2,8.8
Dragan Bender,22,4.1,1.8,9.0
Juan Toscano-Anderson,26,3.3,0.7,5.3
Marquese Chriss,22,4.3,1.9,9.3
Omari Spellman,22,2.9,1.6,7.6
Jacob Evans,22,1.2,0.3,4.7
Jeremy Pargo,33,0.7,0.3,8.3
Chasson Randle,26,0.7,0.0,1.7
Kevon Looney,23,1.9,1.4,3.4
Zach Norvell,22,1.7,0.0,3.3
Alen Smailagić,19,1.2,0.7,4.2
Stephen Curry,32,5.0,0.5,32.0
Andrew Wiggins,25,3.7,1.2,18.6
Draymond Green,30,6.3,0.9,7.0
Kelly Oubre Jr.,25,4.5,1.5,15.4
James Wiseman,19,4.4,1.4,11.5
Juan Toscano-Anderson,27,3.9,0.5,5.7
Kent Bazemore,31,3.0,0.4,7.2
Jordan Poole,21,1.5,0.3,12.0
Kevon Looney,24,3.4,1.9,4.1
Damion Lee,28,2.8,0.4,6.5
Eric Paschall,24,2.5,0.7,9.5
Brad Wanamaker,31,1.5,0.2,4.7
Jordan Bell,26,4.0,1.0,1.0
Marquese Chriss,23,5.0,1.5,6.5
Mychal Mulder,26,0.9,0.1,5.6
Nico Mannion,19,1.3,0.2,4.1
Alen Smailagić,20,0.7,0.4,1.9
Gary Payton II,28,0.9,0.2,2.5
Stephen Curry,33,4.7,0.5,25.5
Andrew Wiggins,26,3.3,1.2,17.2
Jordan Poole,22,3.0,0.4,18.5
Klay Thompson,31,3.4,0.5,20.4
Draymond Green,31,6.3,1.0,7.5
Otto Porter Jr.,28,4.4,1.4,8.2
Kevon Looney,25,4.7,2.5,6.0
Damion Lee,29,2.8,0.4,7.4
Andre Iguodala,38,2.5,0.7,4.0
Gary Payton II,29,2.5,1.0,7.1
Jonathan Kuminga,19,2.6,0.8,9.3
Nemanja Bjelica,33,3.3,0.9,6.1
Juan Toscano-Anderson,28,2.0,0.4,4.1
Moses Moody,19,1.2,0.3,4.4
Chris Chiozza,26,0.8,0.3,2.0
Jeff Dowtin,24,1.5,0.3,1.5
Quinndary Weatherspoon,25,1.1,0.2,2.7
Stephen Curry,34,5.4,0.7,29.4
Klay Thompson,32,3.6,0.6,21.9
Andrew Wiggins,27,3.4,1.6,17.1
Draymond Green,32,6.3,0.9,8.5
Jordan Poole,23,2.4,0.4,20.4
Donte DiVincenzo,26,3.4,1.1,9.4
Kevon Looney,26,5.9,3.3,7.0
Jonathan Kuminga,20,2.4,1.0,9.9
Anthony Lamb,25,2.6,0.9,6.7
Ty Jerome,25,1.6,0.2,6.9
Gary Payton II,30,2.3,2.0,5.7
Andre Iguodala,39,1.8,0.4,2.1
JaMychal Green,32,2.3,1.3,6.4
Moses Moody,20,1.2,0.4,4.8
James Wiseman,21,2.6,0.9,6.9
Patrick Baldwin Jr.,20,1.3,0.0,3.9
Ryan Rollins,20,0.8,0.3,1.9
Lester Quinones,22,0.5,0.3,2.5
